trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,0,14.037074820000194,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,10,17.625886763887365,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,10,26.684176489635544,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.030791459082466124}",20,10,19.433740050512053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.02079482780309243}",20,9,18.41736413083284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,8,26.043953780026044,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,15,11.42564412319536,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,11,36.31162485770249,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,20,9.548768337855181,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,25.440567341758467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,15.639540782264817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,16,22.749443527530275,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,23,21.827336813733474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,13.431966527252076,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,24.894628824447654,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,13.368703764855697,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,24.914948494175768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,11,17.542706363851924,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,10,29.60389106923549,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,17,14.054130725608989,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,3,31.70649834947059,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,16,21.045198352187956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",35,22,22.93233690042815,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,10,31.41669081281378,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,9,21.571686808373315,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,6,24.22407802518613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",35,27,13.063143146172592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,18,21.910474576026147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,17,14.3937374266694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,12,22.64903221318682,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,10,24.27036586814665,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",30,15,29.932872462153107,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,12,24.90546403704622,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,12,15.470413043783772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,10,19.83997318337984,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
